time;reference;observation
 25.639120;3500.000000;3491.000000
 25.644119;3500.000000;3484.000000
 25.649120;3500.000000;3442.000000
 25.654121;3500.000000;3308.000000
 25.659121;3500.000000;3273.000000
 25.664122;3500.000000;3313.000000
 25.669119;3500.000000;3371.000000
 25.674120;3500.000000;3417.000000
 25.679123;3500.000000;3452.000000
 25.684120;3500.000000;3485.000000
 25.689119;3500.000000;3502.000000
 25.694118;3500.000000;3508.000000
 25.699120;3500.000000;3511.000000
 25.704121;3500.000000;3511.000000
 25.709122;3500.000000;3510.000000
 25.714121;3500.000000;3500.000000
 25.719124;3500.000000;3520.000000
 25.724117;3500.000000;3486.000000
